unique_carrier,origin,destination,departure_time,month,day_of_month,day_of_week,distance,is_delayed
OZ,XBT,RIN,1521,5,18,4,281,0
TT,CHP,PDW,1003,6,30,5,1674,0
C6,DIE,UCY,535,3,27,1,1028,0
NB,YTL,RTQ,1245,3,23,3,217,0
TT,RIN,URX,931,8,19,5,1616,0
WT,PIH,YTR,1717,2,2,4,2419,1
WT,RPO,RJB,956,9,16,5,589,0
MH,JNS,MQJ,2147,1,25,3,404,1
LU,FJF,ULX,811,10,18,2,1020,0
HH,PUY,HSR,558,4,18,2,174,0
HH,POI,PQM,733,10,4,3,532,0
RQ,TVQ,VWP,2033,8,16,3,1541,0
MH,OMH,YTL,655,6,30,5,853,0
RL,YTR,UGR,830,8,13,6,372,0
TT,RIN,PIH,1439,2,25,5,1464,0
MH,OMH,JNS,1612,4,24,1,938,0
NB,PJT,PDM,1316,12,23,6,697,0
BN,IQQ,RVN,923,10,22,6,1127,0
OZ,SRW,HSR,1333,3,25,6,647,0
RQ,TWP,TVQ,1536,11,29,2,813,0
WP,UYV,HSR,756,1,24,2,412,0
JG,OAS,TVQ,725,11,29,3,317,0
NB,QTP,HOT,1415,11,6,1,1099,1
HH,RJB,JQU,1023,6,6,1,563,1
BN,PTV,OJO,1147,9,11,7,625,0
RQ,MGF,PQM,833,4,11,1,1449,0
OZ,PDV,RIN,1128,11,12,6,228,0
NB,CHY,SBH,1230,12,15,4,335,0
TT,HEM,RIN,1510,7,19,2,175,0
HH,SRO,PQM,1240,8,24,3,526,0
NB,HBV,ULX,1646,9,29,5,325,0
XJ,YTL,JQU,1441,5,6,5,667,0
XJ,YTL,TOT,2153,2,2,3,519,1
HL,MLP,RMT,2040,5,15,7,444,0
WP,ULX,JQU,1453,6,20,2,347,0
NB,HBV,HTE,700,3,29,3,361,0
WT,HSR,QFT,1255,9,5,1,733,0
TT,POI,RIN,758,11,17,4,1431,0
HH,MUS,PQM,735,5,29,7,320,0
WT,ULQ,PIH,701,5,7,6,2521,0
BN,RVN,OLV,927,1,21,5,609,0
AG,YTR,MTJ,1325,7,20,4,401,1
OZ,PDM,QTX,900,3,13,7,308,1
HH,HSR,OJO,1218,4,1,6,491,0
NB,OMY,HTE,917,5,15,1,1489,0
NB,IQQ,ORN,1255,2,23,3,1166,0
I9,RJB,FJF,816,8,27,7,836,0
MH,RMT,JNS,1852,9,9,5,199,1
WT,PIH,HFF,1723,9,9,6,2338,0
TT,QFT,HSR,1016,9,22,5,733,0
NB,QTP,OLV,1411,10,26,3,2356,0
WP,QTP,CNY,1618,6,1,4,2106,0
JG,CFO,TVQ,735,11,4,6,749,1
NB,HTE,LHW,929,11,10,5,1642,0
NB,OMY,CBT,655,6,28,3,491,0
NB,CWS,POI,1800,3,29,2,358,0
HH,QTX,CIQ,1314,10,30,1,109,0
XJ,MQJ,YTR,729,5,16,1,288,0
WP,UCY,ULQ,1840,10,13,4,951,0
MH,JNS,PTB,1324,9,11,1,2425,0
LT,YVH,LBQ,643,3,27,1,216,0
WT,QTP,QTX,1351,10,27,4,236,0
JG,PAS,TVQ,930,7,5,3,793,0
BN,TCZ,OPU,1431,12,31,7,981,0
IQ,TVQ,ULI,1406,2,15,3,508,1
TT,HSR,RJB,1911,4,5,3,888,0
TT,MHP,RIN,610,5,10,3,592,0
TT,VUT,PDW,1048,1,12,4,1237,0
RQ,TVQ,PTG,1811,2,19,6,215,0
WP,YBR,ULQ,1544,7,16,6,587,1
HH,OIS,PIH,1536,10,19,4,329,0
WP,ULQ,SPN,651,2,11,5,992,1
TT,OYT,YTR,2145,6,12,1,921,1
TT,HSR,TWP,811,8,20,6,978,0
WT,PTV,RJB,925,10,14,6,794,0
TT,RJB,QTX,1047,12,18,1,862,0
WT,RJB,YTR,606,8,13,6,1452,0
MH,TWP,JNS,624,9,22,5,1504,0
HH,OQY,RJB,634,1,16,7,751,0
IQ,TVQ,PIH,914,4,28,4,2139,0
LU,QTP,ULX,1258,8,8,1,256,0
HH,CWS,PIH,1923,5,26,4,326,0
OZ,PTV,RTQ,1640,11,4,6,248,0
TT,RIN,PQM,2039,4,19,3,988,0
NB,PDM,PTB,647,9,18,1,417,0
NB,QTX,POI,2010,10,16,7,373,1
WP,PDW,CHP,1238,12,25,7,1674,0
XJ,YTL,UYV,1837,5,7,6,1117,0
BN,DIE,RVN,846,2,16,3,508,0
TT,QTX,HSR,2314,2,24,5,1745,0
NB,SRW,ULQ,1155,3,9,4,336,0
XJ,YTR,YTL,836,6,24,5,1190,0
LU,RVN,ULX,1919,5,14,6,1671,0
TT,IQQ,RIN,1401,5,22,1,1119,0
IQ,SHM,CNY,1426,12,30,5,277,0
NB,HBV,QTP,1041,9,16,6,197,0
NB,CNY,DTX,1032,7,31,1,663,1
TT,QTX,PVQ,648,12,12,1,1593,0
WT,YTR,HSR,1432,3,30,4,589,1
NB,RTQ,TOT,1810,1,30,1,324,0
OZ,PRI,OYT,1249,10,10,2,911,0
WT,HSR,OPU,2000,8,26,6,334,1
OZ,HSR,HEM,1930,5,15,7,693,1
BN,OJO,PJT,843,7,9,7,1870,0
BN,YBR,VUT,758,11,3,5,838,0
LT,QYL,LBQ,1049,8,5,5,102,0
RQ,IQQ,TVQ,1640,9,30,6,581,0
TT,DTX,RIN,1714,8,24,3,919,0
XJ,MQJ,CRQ,1849,5,2,2,475,0
OZ,QFT,MOL,754,7,9,6,478,0
RQ,TVQ,PDM,943,8,27,7,2116,0
OZ,CHP,SYM,739,1,1,6,474,0
TT,VWP,RIN,936,4,8,6,813,0
VK,ORN,CHP,1909,6,2,4,861,0
XJ,TGQ,YTL,625,5,1,1,834,0
TP,CJV,TBM,751,5,17,3,399,0
WP,QTP,QTX,1408,9,26,2,236,0
NB,VWP,QTX,1050,2,7,1,451,0
XJ,CLO,JNS,930,11,30,3,850,1
LU,ULX,PQM,1318,10,26,3,507,0
RQ,MGF,QTX,1648,4,23,6,1900,0
HH,RJB,STU,2103,9,3,6,301,0
MH,MQJ,PIH,858,9,28,3,2161,0
MH,JNS,OPU,1532,6,27,2,1008,0
NB,PVQ,HEM,915,2,1,2,462,0
BN,VUT,OPU,1352,7,11,2,1307,0
NB,QTX,PVQ,740,10,19,3,1593,0
WP,OLV,ULQ,701,8,31,3,290,0
IQ,MTE,QFT,1822,12,5,1,396,0
WP,MQV,YTR,939,8,19,5,321,0
HH,PTB,QTX,627,10,23,7,109,0
OZ,DTB,RIN,1540,10,15,7,408,0
C6,CHP,DIE,1644,11,16,3,187,0
TP,PJT,QTP,2114,6,2,5,866,1
NB,QCC,TWP,1741,12,14,4,341,0
RQ,QTX,PQM,1312,9,26,2,590,0
NB,CWS,ULX,700,3,31,4,369,0
WP,PDM,QTP,925,10,23,1,386,0
RQ,VWP,TVQ,1613,1,27,5,1541,1
WP,IQQ,ULQ,747,2,27,1,992,0
BN,RVN,QFT,1456,11,30,3,501,0
RQ,CNY,TVQ,1145,7,15,6,576,0
WP,CWI,ULQ,1816,5,14,7,279,1
NB,LHW,CNY,1650,2,24,4,1246,1
RQ,TVQ,RIN,1407,5,10,2,732,0
OZ,CHP,RMT,1115,8,14,7,399,0
TT,RIN,SPN,1941,5,2,2,1017,0
OZ,PDM,QTX,2038,9,18,1,308,0
TT,TWP,HSR,1138,2,8,2,978,0
BN,OJO,PTV,1344,9,14,3,625,0
BN,QTX,OPU,1227,11,16,4,1536,1
MH,PJT,TBM,2128,7,27,3,1449,1
XJ,PTG,YTL,1453,8,6,7,851,0
JG,TVQ,COY,1039,1,3,2,533,0
RQ,TVQ,QFT,2148,6,19,1,761,1
LU,ULX,PVQ,1156,4,25,1,1262,0
VK,LHW,QFT,1904,6,8,4,1428,0
WT,QTX,YTR,1040,5,26,5,2288,0
TP,URX,PBT,951,6,16,4,859,0
OZ,RIN,MQJ,2140,5,16,2,1021,1
HH,PIH,OIS,2229,8,12,6,329,0
JG,MGF,MLT,832,2,2,4,278,0
OZ,YBR,OYT,715,12,26,2,1021,0
HH,HSR,MHP,943,12,5,2,911,0
WT,HSR,POI,1801,12,9,5,1781,1
MH,YTL,UCY,1405,8,24,3,956,0
IQ,TVQ,SHM,1252,9,25,1,749,1
LU,HBV,ULX,1543,6,29,3,325,0
WT,RJB,QFT,1320,11,21,2,1619,1
XJ,YTL,HEM,858,4,1,6,395,0
AG,VWP,QTP,1848,12,8,5,365,1
HH,PIH,OHR,1556,5,11,4,78,0
TT,HBV,RIN,829,11,3,4,1189,0
C6,DIE,CVG,930,6,20,1,267,0
HL,MGF,MLP,2050,8,18,4,497,0
HL,PFI,MGF,705,12,17,6,491,0
WP,OMH,ULQ,1902,11,7,1,861,0
HH,RVN,HSR,2045,9,21,4,235,0
RQ,OMY,TVQ,1400,5,7,7,692,0
HH,TMG,POI,1823,6,5,7,207,0
RQ,DIE,QTX,1237,10,2,1,2475,0
TP,ITY,PJT,157,2,21,2,1533,1
WT,QFT,RJB,753,3,5,6,1619,0
TP,URX,QTP,1112,10,1,6,762,0
OZ,RIN,UBP,1054,5,16,1,604,0
RQ,IQQ,CRQ,1107,4,24,7,1173,1
TP,FJF,PJT,1732,10,9,1,224,1
C6,CHP,VUT,1601,6,2,5,1185,0
WP,ULX,PJT,1124,12,31,7,1107,0
BN,RVN,CHP,1049,9,10,7,632,0
WT,YTR,VWP,1717,12,14,4,1933,0
HH,QTB,HSR,2049,10,29,7,179,1
NB,CNY,OMH,1005,10,28,5,787,0
WT,RMT,HSR,1843,5,13,6,612,0
TT,CHP,HSR,1316,11,12,6,867,0
BN,OPU,SPV,2258,4,6,4,76,1
RL,YTR,UCY,1529,4,22,5,859,1
MH,YTL,QFT,1029,7,10,7,1416,0
NB,UGR,CNY,1150,1,28,6,328,0
RQ,UYV,TVQ,2026,6,9,4,526,1
LU,ULX,RVN,1143,8,2,2,1671,0
WT,PJT,YTR,2223,11,5,6,2306,1
TP,QTX,PJT,1818,8,27,6,954,0
BN,OHV,OPU,755,12,26,1,449,0
NB,HEM,OMY,1857,4,17,1,313,0
TT,JNS,RIN,1651,6,29,3,1372,0
WP,UYV,CHP,729,10,20,5,496,1
NB,ORN,PRI,955,2,17,5,271,0
NB,POI,HBV,2210,5,31,2,389,1
LU,QTP,QTX,2021,8,6,6,236,0
TT,OPA,HSR,1140,3,7,1,837,0
NB,ORN,TCZ,1340,12,21,3,1121,1
RQ,TVQ,SPN,1348,11,5,6,515,0
BN,RVN,VGM,1942,4,17,7,207,0
IQ,TVQ,IQQ,801,11,22,3,581,0
XJ,JNS,PVQ,2048,8,25,5,872,1
HL,MGF,PCB,1440,2,19,7,203,0
C6,DIE,ULX,911,9,9,6,2153,0
BN,OMY,OPU,1408,1,29,6,393,0
HL,CLO,MGF,715,10,25,2,396,0
XJ,YTL,CLO,1430,5,5,5,562,0
RQ,TVQ,ULX,1955,5,22,1,1587,1
WT,HSR,ORV,1852,10,13,5,594,0
RL,YTR,RVN,1700,9,15,4,383,0
HL,RPO,MGF,1735,10,22,7,505,1
MH,PIH,JNS,2153,5,26,4,2565,0
BN,RVN,OPU,1912,11,25,6,528,0
OZ,SRW,DIE,904,1,18,2,426,1
JG,CBT,TVQ,535,8,14,7,214,0
BN,YBR,OJO,1757,8,16,3,381,0
BN,PTV,OPU,753,1,14,5,1097,0
JG,TVQ,QYV,1407,9,25,1,453,0
TP,UPU,PIH,1548,1,31,1,421,1
TT,QTX,PTV,1423,10,13,5,1210,0
JG,YMV,TVQ,640,2,16,4,781,0
NB,OMY,ORN,1420,7,29,5,405,1
XJ,QIV,YTL,1854,2,6,1,201,0
NB,CNY,OMH,1027,8,23,3,787,0
OZ,FFF,RIN,1643,7,8,6,140,1
BN,OPU,QTP,715,2,23,3,1300,0
OZ,PDV,RIN,1742,11,7,1,228,0
HH,QTX,UPU,1930,1,26,3,110,1
WT,RJB,JNS,1010,8,21,1,1605,0
NB,OMY,CBT,2124,9,14,4,491,0
BN,OPU,CNY,2005,11,9,4,936,1
OZ,OQY,HSR,1512,2,13,7,139,0
XJ,MQJ,SYM,1851,2,22,3,362,0
WP,QTX,ULX,1558,2,26,7,370,0
XJ,YTL,UBP,733,7,23,6,489,0
TP,FJF,PJT,1804,12,26,1,224,1
NB,CBT,OMY,1413,2,23,3,491,0
XJ,YTL,OMY,1730,8,4,4,643,0
RQ,OYT,TVQ,650,7,8,5,595,0
NB,OMY,URX,2140,8,18,4,1481,1
I9,CNY,RJB,846,7,13,3,1491,0
LT,QYL,LBQ,2104,12,15,5,102,0
RL,YTR,SRW,1520,2,16,3,224,0
TT,VUT,OYT,930,1,23,7,204,0
HH,PQM,VNI,1657,4,15,6,175,0
NB,ULQ,LHW,1750,3,19,6,1335,0
TP,PJT,QTX,1210,10,14,6,954,0
WP,SPN,MQV,1006,8,18,4,600,0
RQ,TVQ,QFT,1350,11,28,2,761,1
WT,PIH,URX,608,1,2,1,550,0
NB,ULQ,OMH,715,3,17,4,861,0
NB,ORN,VUT,900,9,16,5,997,0
LT,LBQ,QYL,944,9,12,1,102,0
OZ,PDM,PTB,952,8,20,7,417,0
TT,MOL,RIN,811,1,14,6,927,0
HH,OPH,RJB,1203,3,3,4,679,0
HH,PIH,OSA,1614,9,22,5,77,0
WT,HSR,PTB,959,10,21,6,1723,1
OZ,RIN,LHW,1615,7,22,6,247,0
IQ,TVQ,ULI,1143,2,17,4,508,0
XJ,TQC,JNS,1341,7,10,1,143,0
OZ,FPH,OYT,630,12,19,2,710,0
BN,IBV,OPU,706,4,13,3,491,1
WP,PBT,QTP,1732,12,9,6,226,1
IQ,JNS,TVQ,1206,1,27,5,745,0
WP,CHP,RMT,1540,1,28,6,399,1
BN,FIE,OPU,500,10,15,7,284,0
RQ,QFT,CHP,2028,2,10,5,185,0
NB,CNY,MOL,1128,1,21,6,336,1
BN,OPU,CBT,1920,12,27,3,695,0
OZ,MQV,OYT,1222,6,5,1,650,0
WT,HSR,RMT,1600,9,28,3,612,1
TT,OMH,RIN,904,10,24,2,984,0
BN,CHY,OPU,1407,10,10,1,1142,1
WP,ULX,OMY,1001,1,3,2,1044,0
WT,UCY,HSR,1350,11,16,3,1144,0
TT,RIN,RVN,1904,2,1,2,987,1
NB,LHW,RTQ,1457,9,4,1,239,0
BN,OJO,CVS,1938,8,31,3,319,0
TT,HSR,CHP,1454,9,20,3,867,0
NB,YPU,IQQ,650,12,23,5,1093,0
XJ,YTL,MLP,1627,1,21,6,925,0
I9,RJB,PJT,1217,5,16,2,1024,0
WT,HSR,UGR,1318,6,14,2,849,0
IQ,CNY,RTA,1618,3,5,6,406,0
BN,RVN,FSS,852,4,29,5,120,0
NB,LHW,RTQ,2012,9,27,3,239,0
OZ,OQY,HSR,1348,9,12,1,139,1
IQ,QFT,ULI,849,12,26,2,288,0
OZ,CWI,HSR,759,8,6,6,473,0
WT,POI,RJB,607,3,21,1,910,0
TT,ULX,HSR,631,10,11,2,1440,0
WT,QTX,RIN,1240,2,20,7,1235,1
JG,TVQ,CZE,1356,10,12,3,238,1
NB,OPA,LHW,2030,3,27,7,303,1
JG,VQL,MGF,1325,10,16,1,596,0
WP,CHP,ULQ,2133,8,8,1,280,1
BN,YTR,RVN,1247,1,14,6,383,0
HL,VWQ,MGF,1029,12,10,6,646,0
HH,ITS,HSR,1603,9,12,2,557,0
RQ,TVQ,YTR,1923,9,8,4,533,0
RL,CBT,YTR,1145,5,23,1,542,0
HL,MGF,YTR,1210,6,21,3,388,0
WP,RMT,QFT,1554,3,13,1,214,0
BN,OEJ,RVN,1804,6,19,1,238,0
HL,OMY,MGF,915,12,29,4,539,0
AG,RJB,MHR,1158,6,30,5,392,1
RQ,QTX,MGF,2400,12,27,2,1900,0
WP,MQV,ULQ,1942,6,17,6,448,1
IQ,VUT,YBR,1342,9,16,5,838,0
C6,HTE,DIE,1316,11,21,2,2576,0
TT,PVQ,QTX,1232,11,4,6,1593,1
WT,RJB,PIH,2018,5,19,5,967,1
XJ,YTL,LSQ,2106,7,23,6,295,0
TT,OIJ,RIN,1634,8,26,6,468,0
RQ,TVQ,PIH,1459,12,1,5,2139,0
RQ,QTX,VUT,109,7,28,5,2158,1
OZ,PLG,RIN,1606,12,27,2,190,0
BN,RVN,CHP,850,4,3,7,632,0
MH,JNS,MQJ,632,2,27,1,404,0
WT,RJB,HSR,638,1,27,4,888,0
WP,CHP,MQV,1805,6,21,2,728,1
LT,YVH,LBQ,1728,9,19,1,216,0
AG,PCU,ULX,624,12,29,5,509,0
RQ,TVQ,QTP,837,6,7,2,1747,0
TP,PJT,QTX,1059,2,2,4,954,0
OZ,RIN,QTN,1503,5,28,7,140,0
WT,PBT,PIH,1936,5,12,5,372,0
LT,QTP,LBQ,1011,8,17,4,2762,0
HL,PTV,MGF,1103,9,8,4,1024,0
OZ,HSR,INT,749,8,17,4,157,0
WT,RJB,ULX,824,8,2,3,602,0
WP,QTP,PJT,1128,11,12,7,866,0
LU,PTB,QTP,2020,3,27,7,258,0
XJ,JNS,VWQ,850,5,24,2,1215,0
WP,OMH,UYV,1200,8,9,2,834,0
TT,PJT,PVQ,638,3,14,1,1710,0
NB,SBH,PDM,615,3,28,2,188,0
TT,OYT,TVQ,805,8,12,5,595,0
XJ,HSI,MQJ,625,5,18,4,435,0
WP,HSR,MQV,920,10,29,7,599,0
BN,OPU,IPR,1129,11,14,2,197,0
OZ,QYV,HSR,1812,4,26,3,552,0
RQ,TVQ,QTX,1249,8,5,5,1946,0
WT,HSR,ULX,1732,4,29,5,1440,1
OZ,RIN,TCY,2103,3,10,4,158,0
HL,MGF,OMY,1103,6,24,6,539,0
OZ,YMV,RIN,1018,12,24,6,328,0
HH,QTX,TCZ,1954,9,18,1,677,0
TT,RIN,OPA,1725,3,21,1,448,0
MH,OYT,JNS,659,2,5,7,1086,0
C6,OMH,DIE,1417,10,27,5,944,0
WT,PDW,YTR,1644,4,18,2,1571,0
LU,RIN,ULX,1733,2,26,6,868,0
NB,HBV,HTE,1515,5,4,3,361,0
JG,PQM,TWP,1859,6,25,6,1085,0
NB,ULQ,SRW,1235,2,1,3,336,0
MH,QTX,YTL,710,2,26,7,1379,0
NB,TQC,OMH,1245,1,13,5,1073,0
OZ,HSR,OJO,1645,12,29,5,491,0
BN,OPU,PVQ,721,4,12,2,449,0
RQ,IQQ,QFT,903,10,2,7,1076,0
HH,PQM,CWS,1130,4,22,5,574,0
RQ,TVQ,QJX,1806,1,13,5,303,0
HL,UCY,MGF,1655,4,30,7,892,0
WT,ULX,PIH,1754,2,17,5,651,0
WT,RJB,ULQ,1229,6,6,2,1557,0
AG,MTJ,HSR,703,12,10,7,666,0
JG,MGF,OFO,1450,5,4,3,475,0
BN,RVN,ULQ,1907,6,26,1,453,0
XJ,YTR,MQJ,1035,2,20,1,288,0
NB,OMH,TQC,1918,7,17,7,1073,0
HL,MHP,MGF,1430,11,21,2,1078,0
NB,ULX,RJB,1638,1,13,5,602,0
WP,UGR,RMT,2004,2,28,2,357,0
NB,ULX,QTP,1400,11,1,3,256,0
MH,IQQ,JNS,1058,2,20,7,1065,0
AG,CBT,MQV,1630,2,4,6,329,0
TT,RIN,OMH,1457,9,24,6,984,0
HL,CNY,CHP,1050,12,30,6,370,0
TT,OYT,PVX,1238,3,17,4,1139,1
OZ,JNS,SRW,1043,3,16,3,416,0
WT,PIH,QTX,2240,10,22,7,337,1
NB,TWP,LHW,1105,3,22,3,148,0
XJ,YTL,MGF,1848,11,20,7,871,0
BN,OPA,OPU,1728,4,14,4,1040,0
NB,ULX,PBT,1237,10,7,6,338,0
BN,RVN,SHM,2122,4,17,1,296,0
NB,PVQ,HOT,2055,6,8,3,342,1
NB,UYV,ORN,1415,11,17,5,402,1
IQ,YTR,TVQ,1003,3,7,1,533,0
JG,MTJ,TVQ,715,1,8,6,191,0
BN,OPU,RIN,720,5,26,4,852,0
HL,MGF,PRI,1300,5,21,7,83,0
WT,QFT,HSR,1603,8,30,2,733,1
HL,QFT,PTG,929,2,8,3,722,1
I9,RJB,ORN,1455,9,12,1,895,0
OZ,SRW,JNS,1255,2,15,2,416,0
BN,TVQ,RVN,2005,6,30,4,594,0
OZ,RIN,PLG,754,7,3,7,190,0
WP,PTB,QTP,1328,1,28,6,258,0
NB,ULX,PQM,1225,11,2,3,507,0
WT,PIH,QTP,1553,2,27,7,414,1
RQ,QFT,CHP,1740,4,29,5,185,0
JG,TVQ,MPF,1916,6,7,2,83,0
OZ,RIN,LHW,849,7,7,5,247,0
XJ,OPU,MQJ,839,12,9,6,622,0
NB,RTQ,TOT,745,4,11,2,324,0
WT,CNY,HSR,1757,10,27,5,622,1
RQ,TVQ,ULQ,1343,5,23,2,665,0
JG,DTB,TVQ,1616,7,11,2,341,1
TT,VUT,QFT,1835,10,20,4,1011,0
NB,QTP,PDM,1400,4,3,1,386,1
WT,HSR,YTR,558,7,9,6,589,0
XJ,MQJ,HSR,1644,4,19,3,316,0
TP,HOJ,TBM,924,7,16,6,539,0
TT,RIN,QFT,1856,1,10,2,1389,0
JG,TVQ,CZE,1613,5,17,3,238,0
WP,UYV,UCY,855,11,20,1,952,0
HL,SHT,MGF,1205,3,31,5,282,0
NB,HTE,CBT,1125,5,1,1,1959,0
NB,ORN,ULX,1630,8,22,1,1444,1
BN,RMT,OPU,1212,10,26,4,931,0
WP,MQV,QFT,1630,8,20,7,544,1
RQ,DIE,OMH,1050,12,15,4,944,1
RQ,TVQ,SRW,1651,12,5,2,356,0
HL,MGF,CLO,815,2,11,6,396,0
RQ,FPH,MGF,628,10,31,1,330,0
MH,YTL,TWP,1933,4,6,4,140,1
NB,VUT,IQQ,1755,3,29,3,197,0
XJ,OEJ,YTL,1730,5,21,7,984,0
IQ,OPU,TVQ,1904,2,4,5,906,0
WP,CHP,ULQ,1209,1,13,4,280,1
HH,PQM,UYL,1659,2,17,5,150,0
TT,CHP,RIN,1337,7,3,1,1562,0
TT,RMT,PVQ,1737,12,8,4,719,0
TT,RIN,PVQ,642,10,5,3,551,0
XJ,JNS,RVN,1210,6,25,6,487,0
TT,TVQ,OYT,1402,4,22,6,595,0
OZ,YMV,RIN,1043,11,28,1,328,1
IQ,SHM,VUT,744,2,2,4,1079,0
HH,PQM,YRT,2135,7,8,5,188,1
WT,LBQ,PIH,2302,5,26,4,2398,0
RQ,TVQ,YTL,1119,1,9,7,689,0
RQ,PDW,OMH,919,9,19,1,1189,0
LT,PJT,LBQ,836,1,27,4,2677,0
HH,CWS,PQM,929,5,4,4,574,0
HL,MGF,OMH,1454,5,12,4,756,0
JG,TVQ,MTJ,1750,8,19,5,191,1
XJ,JNS,UNO,1009,10,1,6,284,0
OZ,QFT,FSS,1743,7,2,6,618,1
BN,OPU,RJB,922,1,9,1,680,0
WP,UCY,MQV,810,6,21,2,590,0
NB,TOT,QTP,1250,2,27,1,758,0
NB,ORN,YPU,2000,11,20,7,765,1
HH,RIN,PQM,1809,11,8,3,988,0
AG,MHP,RJB,957,8,20,7,72,0
XJ,YTL,MSU,1420,12,8,4,201,0
IQ,TVQ,ULQ,1938,12,11,7,665,1
HH,RJB,PFI,1010,12,9,5,637,0
MH,JNS,URX,1928,4,3,7,2433,0
WT,OMH,YTR,1547,11,14,2,758,0
WT,ULX,PIH,1251,10,8,7,651,0
LU,JQU,ULX,1505,6,16,4,347,0
WP,OMH,ULQ,2043,7,8,5,861,1
WP,UCY,MQV,1307,2,25,6,590,0
NB,VWP,TCZ,625,5,3,3,321,0
NB,POI,PBT,850,11,14,1,404,0
BN,RMT,RVN,1421,6,26,1,405,0
NB,PTB,PDM,1157,6,20,2,417,1
NB,CNY,ULX,1730,4,16,7,1999,0
HL,MGF,HEM,1825,6,20,2,756,1
HH,HBV,QTX,510,1,13,5,47,0
IQ,TVQ,CNY,910,9,13,2,576,0
NB,PTV,RTQ,1645,9,4,7,248,0
JG,TVQ,TGQ,1435,8,6,7,164,0
TT,PTV,RIN,1341,5,7,6,247,0
OZ,CWI,HSR,625,4,28,4,473,0
WP,MQV,QTP,956,12,12,1,1916,0
TT,CBT,RIN,1121,5,6,5,631,1
VK,OPU,ORN,1458,8,6,6,349,0
XJ,MQJ,UGR,1704,6,9,5,540,0
TT,HSR,CHP,1736,9,4,1,867,0
BN,OJO,RMT,1436,4,15,5,762,1
NB,IQQ,OPA,1158,5,5,4,673,1
OZ,QFT,CFS,2100,8,14,1,378,1
NB,CWI,CNY,630,3,23,4,281,0
XJ,JNS,FPH,1517,3,10,4,446,0
TT,RJB,RIN,926,9,2,6,641,0
MH,YTL,OIJ,1743,2,17,4,316,0
TT,RJB,QTX,1903,1,26,4,862,0
BN,RVN,IBV,2248,11,17,5,56,1
TP,PJT,PTB,800,10,8,7,1050,0
HH,PJT,UPM,2122,2,23,3,172,0
TT,PIH,HSR,1245,1,4,3,1846,0
HH,QTX,PBT,1325,1,17,1,36,0
NB,VWQ,LHW,1635,1,1,7,453,0
HH,PQM,LQB,2236,5,26,4,402,0
NB,HEM,OMY,625,7,29,5,313,0
